Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume
NU,,,,,,,,
BTC-USD,,,,,,,,
META,,,,,,,,
AAPL,,,,,,,,
AMZN,,,,,,,,
NFLX,,,,,,,,
GOOGL,,,,,,,,
WMT,,,,,,,,
